value,type,time,trial_reference_time,reward,prob_A,prob_L,reward_A,reward_L,rt,id,trial
A,mouse,39612,38061.7600000114,100,0.749665798452642,0.250334201547359,TRUE,FALSE,1550.23999998858,5788bc0cad1a6c0001466736,1
L,mouse,42187,41623.5900000029,0,0.740550336518633,0.259449663481367,TRUE,FALSE,563.409999997122,5788bc0cad1a6c0001466736,2
A,mouse,44507,44193.1500000064,0,0.711923169687433,0.288076830312567,FALSE,FALSE,313.849999993574,5788bc0cad1a6c0001466736,3
L,mouse,47455,46519.1200000118,100,0.668683918154119,0.331316081845881,TRUE,TRUE,935.879999988247,5788bc0cad1a6c0001466736,4
L,mouse,49850,49470.6350000051,0,0.620885473953537,0.379114526046463,TRUE,FALSE,379.364999994868,5788bc0cad1a6c0001466736,5
A,mouse,52247,51846.1800000223,100,0.580792457207485,0.419207542792515,TRUE,TRUE,400.819999977713,5788bc0cad1a6c0001466736,6
L,mouse,54625,54255.3250000055,100,0.559138337773625,0.440861662226375,FALSE,TRUE,369.674999994459,5788bc0cad1a6c0001466736,7
L,mouse,56964,56636.6250000137,100,0.561668056708911,0.438331943291089,TRUE,TRUE,327.374999986263,5788bc0cad1a6c0001466736,8
A,mouse,59304,58963.3449999965,100,0.58699151986522,0.41300848013478,TRUE,FALSE,340.65500000352,5788bc0cad1a6c0001466736,9
A,mouse,61573,61317.5850000116,100,0.626418777669515,0.373581222330486,TRUE,FALSE,255.414999988396,5788bc0cad1a6c0001466736,10
L,mouse,64573,63595.8399999945,0,0.665897524600039,0.334102475399961,TRUE,FALSE,977.160000005504,5788bc0cad1a6c0001466736,11
L,mouse,67034,66581.0650000058,0,0.689580749769398,0.310419250230602,TRUE,FALSE,452.934999994235,5788bc0cad1a6c0001466736,12
A,mouse,69267,69046.6900000174,0,0.684082888999413,0.315917111000587,FALSE,TRUE,220.309999982594,5788bc0cad1a6c0001466736,13
L,mouse,71425,71282.7399999951,100,0.642269237191373,0.357730762808627,FALSE,TRUE,142.260000004899,5788bc0cad1a6c0001466736,14
L,mouse,73861,73435.7600000221,100,0.565527735728905,0.434472264271095,FALSE,TRUE,425.239999977872,5788bc0cad1a6c0001466736,15
L,mouse,77518,75866.2250000052,100,0.463868513210639,0.536131486789361,TRUE,TRUE,1651.77499999478,5788bc0cad1a6c0001466736,16
L,mouse,79841,79525.7550000097,100,0.353777486185298,0.646222513814702,FALSE,TRUE,315.244999990333,5788bc0cad1a6c0001466736,17
L,mouse,82154,81852.35500001,100,0.254356973639503,0.745643026360497,FALSE,TRUE,301.644999990007,5788bc0cad1a6c0001466736,18
L,mouse,84160,84157.9600000114,100,0.182751927095744,0.817248072904256,FALSE,TRUE,2.03999998862855,5788bc0cad1a6c0001466736,19
L,mouse,86625,86164.6300000139,100,0.150056706138469,0.849943293861531,FALSE,TRUE,460.369999986142,5788bc0cad1a6c0001466736,20
L,mouse,89082,88629.7699999996,100,0.158769989547348,0.841230010452652,TRUE,TRUE,452.230000000447,5788bc0cad1a6c0001466736,21
L,mouse,91423,91095.1850000129,100,0.202449128013899,0.797550871986101,FALSE,TRUE,327.814999987138,5788bc0cad1a6c0001466736,22
